0.0 + 0.0im	0.24999999999997316 + 0.0im
0.00125 + 0.0im	0.24971580579541255 + 0.0im
0.0025 + 0.0im	0.24943223624672548 + 0.0im
0.00375 + 0.0im	0.24914929011848624 + 0.0im
0.005 + 0.0im	0.24886696617838647 + 0.0im
0.00625 + 0.0im	0.24858526319723534 + 0.0im
0.0075 + 0.0im	0.24830417994898038 + 0.0im
0.00875 + 0.0im	0.24802371521063726 + 0.0im
0.01 + 0.0im	0.24774386776234011 + 0.0im
0.01125 + 0.0im	0.2474646363873164 + 0.0im
0.0125 + 0.0im	0.247186019871855 + 0.0im
0.01375 + 0.0im	0.2469080170053405 + 0.0im
0.015 + 0.0im	0.24663062658020354 + 0.0im
0.01625 + 0.0im	0.24635384739195226 + 0.0im
0.0175 + 0.0im	0.24607767823914076 + 0.0im
0.01875 + 0.0im	0.2458021179233598 + 0.0im
0.02 + 0.0im	0.24552716524925478 + 0.0im
0.02125 + 0.0im	0.24525281902448406 + 0.0im
0.0225 + 0.0im	0.2449790780597347 + 0.0im
0.02375 + 0.0im	0.244705941168714 + 0.0im
0.025 + 0.0im	0.2444334071681379 + 0.0im
0.02625 + 0.0im	0.24416147487770412 + 0.0im
0.0275 + 0.0im	0.24389014312013138 + 0.0im
0.02875 + 0.0im	0.24361941072110804 + 0.0im
0.03 + 0.0im	0.24334927650930646 + 0.0im
0.03125 + 0.0im	0.24307973931636384 + 0.0im
0.0325 + 0.0im	0.24281079797689928 + 0.0im
0.03375 + 0.0im	0.24254245132848012 + 0.0im
0.035 + 0.0im	0.24227469821161485 + 0.0im
0.03625 + 0.0im	0.24200753746977385 + 0.0im
0.0375 + 0.0im	0.2417409679493484 + 0.0im
0.03875 + 0.0im	0.24147498849967008 + 0.0im
0.04 + 0.0im	0.24120959797298663 + 0.0im
0.04125 + 0.0im	0.24094479522445525 + 0.0im
0.0425 + 0.0im	0.24068057911216867 + 0.0im
0.04375 + 0.0im	0.2404169484970876 + 0.0im
0.045 + 0.0im	0.24015390224308436 + 0.0im
0.04625 + 0.0im	0.23989143921692413 + 0.0im
0.0475 + 0.0im	0.23962955828824398 + 0.0im
0.04875 + 0.0im	0.23936825832954892 + 0.0im
0.05 + 0.0im	0.23910753821622607 + 0.0im
0.05125 + 0.0im	0.2388473968265127 + 0.0im
0.0525 + 0.0im	0.23858783304150522 + 0.0im
0.05375 + 0.0im	0.23832884574513624 + 0.0im
0.055 + 0.0im	0.23807043382419665 + 0.0im
0.05625 + 0.0im	0.23781259616828984 + 0.0im
0.0575 + 0.0im	0.23755533166985782 + 0.0im
0.05875 + 0.0im	0.2372986392241547 + 0.0im
0.06 + 0.0im	0.23704251772926713 + 0.0im
0.06125 + 0.0im	0.23678696608605088 + 0.0im
0.0625 + 0.0im	0.23653198319820165 + 0.0im
0.06375 + 0.0im	0.23627756797218002 + 0.0im
0.065 + 0.0im	0.2360237193172385 + 0.0im
0.06625 + 0.0im	0.23577043614541518 + 0.0im
0.0675 + 0.0im	0.2355177173715288 + 0.0im
0.06875 + 0.0im	0.23526556191314146 + 0.0im
0.07 + 0.0im	0.23501396869058913 + 0.0im
0.07125 + 0.0im	0.23476293662695738 + 0.0im
0.0725 + 0.0im	0.23451246464809733 + 0.0im
0.07375 + 0.0im	0.23426255168255622 + 0.0im
0.075 + 0.0im	0.23401319666166068 + 0.0im
0.07625 + 0.0im	0.2337643985194472 + 0.0im
0.0775 + 0.0im	0.23351615619266303 + 0.0im
0.07875 + 0.0im	0.2332684686207873 + 0.0im
0.08 + 0.0im	0.2330213347459807 + 0.0im
0.08125 + 0.0im	0.23277475351314358 + 0.0im
0.0825 + 0.0im	0.23252872386984158 + 0.0im
0.08375 + 0.0im	0.23228324476634124 + 0.0im
0.085 + 0.0im	0.23203831515558065 + 0.0im
0.08625 + 0.0im	0.2317939339931985 + 0.0im
0.0875 + 0.0im	0.23155010023747213 + 0.0im
0.08875 + 0.0im	0.23130681284935814 + 0.0im
0.09 + 0.0im	0.23106407079248467 + 0.0im
0.09125 + 0.0im	0.23082187303309554 + 0.0im
0.0925 + 0.0im	0.23058021854011002 + 0.0im
0.09375 + 0.0im	0.23033910628507182 + 0.0im
0.095 + 0.0im	0.23009853524215781 + 0.0im
0.09625 + 0.0im	0.2298585043881805 + 0.0im
0.0975 + 0.0im	0.22961901270255494 + 0.0im
0.09875 + 0.0im	0.2293800591673402 + 0.0im
0.1 + 0.0im	0.2291416427671529 + 0.0im
0.10125 + 0.0im	0.22890376248927577 + 0.0im
0.1025 + 0.0im	0.22866641732352788 + 0.0im
0.10375 + 0.0im	0.22842960626234404 + 0.0im
0.105 + 0.0im	0.22819332830074784 + 0.0im
0.10625 + 0.0im	0.22795758243633515 + 0.0im
0.1075 + 0.0im	0.2277223676692595 + 0.0im
0.10875 + 0.0im	0.22748768300225514 + 0.0im
0.11 + 0.0im	0.2272535274406298 + 0.0im
0.11125 + 0.0im	0.22701989999219535 + 0.0im
0.1125 + 0.0im	0.2267867996673559 + 0.0im
0.11375 + 0.0im	0.22655422547905282 + 0.0im
0.115 + 0.0im	0.22632217644273694 + 0.0im
0.11625 + 0.0im	0.22609065157641248 + 0.0im
0.1175 + 0.0im	0.22585964990059207 + 0.0im
0.11875 + 0.0im	0.22562917043832115 + 0.0im
0.12 + 0.0im	0.22539921221514309 + 0.0im
0.12125 + 0.0im	0.22516977425911427 + 0.0im
0.1225 + 0.0im	0.22494085560079 + 0.0im
0.12375 + 0.0im	0.22471245527321473 + 0.0im
0.125 + 0.0im	0.224484572311943 + 0.0im
0.12625 + 0.0im	0.22425720575498126 + 0.0im
0.1275 + 0.0im	0.22403035464282542 + 0.0im
0.12875 + 0.0im	0.22380401801845726 + 0.0im
0.13 + 0.0im	0.22357819492729378 + 0.0im
0.13125 + 0.0im	0.2233528844172503 + 0.0im
0.1325 + 0.0im	0.22312808553865354 + 0.0im
0.13375 + 0.0im	0.22290379734431431 + 0.0im
0.135 + 0.0im	0.22268001888948147 + 0.0im
0.13625 + 0.0im	0.22245674923181447 + 0.0im
0.1375 + 0.0im	0.22223398743142037 + 0.0im
0.13875 + 0.0im	0.22201173255085394 + 0.0im
0.14 + 0.0im	0.221789983655049 + 0.0im
0.14125 + 0.0im	0.22156873981138453 + 0.0im
0.1425 + 0.0im	0.22134800008962843 + 0.0im
0.14375 + 0.0im	0.22112776356198363 + 0.0im
0.145 + 0.0im	0.22090802930301312 + 0.0im
0.14625 + 0.0im	0.2206887963896924 + 0.0im
0.1475 + 0.0im	0.22047006390138627 + 0.0im
0.14875 + 0.0im	0.2202518309198267 + 0.0im
0.15 + 0.0im	0.22003409652914196 + 0.0im
0.15125 + 0.0im	0.21981685981581606 + 0.0im
0.1525 + 0.0im	0.21960011986869926 + 0.0im
0.15375 + 0.0im	0.21938387577899615 + 0.0im
0.155 + 0.0im	0.21916812664028584 + 0.0im
0.15625 + 0.0im	0.21895287154848697 + 0.0im
0.1575 + 0.0im	0.2187381096018425 + 0.0im
0.15875 + 0.0im	0.21852383990095578 + 0.0im
0.16 + 0.0im	0.21831006154877147 + 0.0im
0.16125 + 0.0im	0.21809677365052677 + 0.0im
0.1625 + 0.0im	0.21788397531381987 + 0.0im
0.16375 + 0.0im	0.21767166564852272 + 0.0im
0.165 + 0.0im	0.21745984376686486 + 0.0im
0.16625 + 0.0im	0.21724850878335833 + 0.0im
0.1675 + 0.0im	0.2170376598148084 + 0.0im
0.16875 + 0.0im	0.21682729598033484 + 0.0im
0.17 + 0.0im	0.21661741640133 + 0.0im
0.17125 + 0.0im	0.21640802020148928 + 0.0im
0.1725 + 0.0im	0.2161991065067724 + 0.0im
0.17375 + 0.0im	0.21599067444542724 + 0.0im
0.175 + 0.0im	0.21578272314796396 + 0.0im
0.17625 + 0.0im	0.21557525174716172 + 0.0im
0.1775 + 0.0im	0.2153682593780512 + 0.0im
0.17875 + 0.0im	0.2151617451779172 + 0.0im
0.18 + 0.0im	0.21495570828630498 + 0.0im
0.18125 + 0.0im	0.214750147845004 + 0.0im
0.1825 + 0.0im	0.21454506299803425 + 0.0im
0.18375 + 0.0im	0.2143404528916359 + 0.0im
0.185 + 0.0im	0.21413631667431537 + 0.0im
0.18625 + 0.0im	0.21393265349676738 + 0.0im
0.1875 + 0.0im	0.21372946251192076 + 0.0im
0.18875 + 0.0im	0.21352674287491924 + 0.0im
0.19 + 0.0im	0.21332449374311974 + 0.0im
0.19125 + 0.0im	0.21312271427607093 + 0.0im
0.1925 + 0.0im	0.21292140363552775 + 0.0im
0.19375 + 0.0im	0.2127205609854275 + 0.0im
0.195 + 0.0im	0.21252018549191876 + 0.0im
0.19625 + 0.0im	0.21232027632332146 + 0.0im
0.1975 + 0.0im	0.21212083265012652 + 0.0im
0.19875 + 0.0im	0.21192185364500707 + 0.0im
0.2 + 0.0im	0.21172333848281794 + 0.0im
0.20125 + 0.0im	0.21152528634054704 + 0.0im
0.2025 + 0.0im	0.2113276963973837 + 0.0im
0.20375 + 0.0im	0.21113056783462458 + 0.0im
0.205 + 0.0im	0.210933899835763 + 0.0im
0.20625 + 0.0im	0.21073769158640626 + 0.0im
0.2075 + 0.0im	0.2105419422743196 + 0.0im
0.20875 + 0.0im	0.21034665108938905 + 0.0im
0.21 + 0.0im	0.21015181722363357 + 0.0im
0.21125 + 0.0im	0.20995743987120463 + 0.0im
0.2125 + 0.0im	0.2097635182283757 + 0.0im
0.21375 + 0.0im	0.20957005149353883 + 0.0im
0.215 + 0.0im	0.2093770388671844 + 0.0im
0.21625 + 0.0im	0.20918447955192598 + 0.0im
0.2175 + 0.0im	0.2089923727524694 + 0.0im
0.21875 + 0.0im	0.20880071767562264 + 0.0im
0.22 + 0.0im	0.20860951353029028 + 0.0im
0.22125 + 0.0im	0.20841875952743982 + 0.0im
0.2225 + 0.0im	0.20822845488016758 + 0.0im
0.22375 + 0.0im	0.20803859880361986 + 0.0im
0.225 + 0.0im	0.20784919051500803 + 0.0im
0.22625 + 0.0im	0.20766022923363994 + 0.0im
0.2275 + 0.0im	0.20747171418087235 + 0.0im
0.22875 + 0.0im	0.20728364458013857 + 0.0im
0.23 + 0.0im	0.20709601965690638 + 0.0im
0.23125 + 0.0im	0.2069088386387027 + 0.0im
0.2325 + 0.0im	0.20672210075510492 + 0.0im
0.23375 + 0.0im	0.2065358052377446 + 0.0im
0.235 + 0.0im	0.2063499513202717 + 0.0im
0.23625 + 0.0im	0.20616453823838324 + 0.0im
0.2375 + 0.0im	0.20597956522979002 + 0.0im
0.23875 + 0.0im	0.20579503153424256 + 0.0im
0.24 + 0.0im	0.20561093639351644 + 0.0im
0.24125 + 0.0im	0.20542727905139022 + 0.0im
