0.0 + 0.0im	0.2499999999999978 + 0.0im
0.00125 + 0.0im	0.24971580581014666 + 0.0im
0.0025 + 0.0im	0.24943223630340058 + 0.0im
0.00375 + 0.0im	0.24914929024402677 + 0.0im
0.005 + 0.0im	0.24886696639942626 + 0.0im
0.00625 + 0.0im	0.24858526354010602 + 0.0im
0.0075 + 0.0im	0.24830418043970945 + 0.0im
0.00875 + 0.0im	0.24802371587496322 + 0.0im
0.01 + 0.0im	0.24774386862570003 + 0.0im
0.01125 + 0.0im	0.24746463747485048 + 0.0im
0.0125 + 0.0im	0.2471860212084129 + 0.0im
0.01375 + 0.0im	0.24690801861547307 + 0.0im
0.015 + 0.0im	0.24663062848817952 + 0.0im
0.01625 + 0.0im	0.24635384962174176 + 0.0im
0.0175 + 0.0im	0.2460776808144255 + 0.0im
0.01875 + 0.0im	0.24580212086753464 + 0.0im
0.02 + 0.0im	0.2455271685854189 + 0.0im
0.02125 + 0.0im	0.2452528227754578 + 0.0im
0.0225 + 0.0im	0.2449790822480531 + 0.0im
0.02375 + 0.0im	0.24470594581662417 + 0.0im
0.025 + 0.0im	0.24443341229759846 + 0.0im
0.02625 + 0.0im	0.24416148051040576 + 0.0im
0.0275 + 0.0im	0.2438901492774706 + 0.0im
0.02875 + 0.0im	0.24361941742420665 + 0.0im
0.03 + 0.0im	0.24334928377900836 + 0.0im
0.03125 + 0.0im	0.24307974717323905 + 0.0im
0.0325 + 0.0im	0.242810806441232 + 0.0im
0.03375 + 0.0im	0.24254246042028133 + 0.0im
0.035 + 0.0im	0.2422747079506245 + 0.0im
0.03625 + 0.0im	0.2420075478754532 + 0.0im
0.0375 + 0.0im	0.24174097904089348 + 0.0im
0.03875 + 0.0im	0.24147500029600502 + 0.0im
0.04 + 0.0im	0.2412096104927607 + 0.0im
0.04125 + 0.0im	0.2409448084860646 + 0.0im
0.0425 + 0.0im	0.24068059313371545 + 0.0im
0.04375 + 0.0im	0.24041696329643317 + 0.0im
0.045 + 0.0im	0.24015391783781595 + 0.0im
0.04625 + 0.0im	0.239891455624361 + 0.0im
0.0475 + 0.0im	0.2396295755254402 + 0.0im
0.04875 + 0.0im	0.23936827641331165 + 0.0im
0.05 + 0.0im	0.23910755716308654 + 0.0im
