-12.566370614359172 + 0.0im	-5.965496100102883e-5 + 0.0im
-12.550662651091223 + 0.0im	-5.988468182098322e-5 + 0.0im
-12.534954687823275 + 0.0im	-6.0115590952678254e-5 + 0.0im
-12.519246724555325 + 0.0im	-6.034769613772986e-5 + 0.0im
-12.503538761287377 + 0.0im	-6.0581005178738245e-5 + 0.0im
-12.487830798019427 + 0.0im	-6.0815525939846626e-5 + 0.0im
-12.47212283475148 + 0.0im	-6.105126634731288e-5 + 0.0im
-12.45641487148353 + 0.0im	-6.128823439008808e-5 + 0.0im
-12.440706908215581 + 0.0im	-6.152643812040769e-5 + 0.0im
-12.424998944947632 + 0.0im	-6.176588565435942e-5 + 0.0im
-12.409290981679682 + 0.0im	-6.200658517249851e-5 + 0.0im
-12.393583018411734 + 0.0im	-6.224854492044255e-5 + 0.0im
-12.377875055143784 + 0.0im	-6.249177320948233e-5 + 0.0im
-12.362167091875836 + 0.0im	-6.273627841718928e-5 + 0.0im
-12.346459128607886 + 0.0im	-6.298206898804439e-5 + 0.0im
-12.330751165339938 + 0.0im	-6.322915343406767e-5 + 0.0im
-12.315043202071989 + 0.0im	-6.347754033544441e-5 + 0.0im
-12.29933523880404 + 0.0im	-6.372723834117736e-5 + 0.0im
-12.283627275536091 + 0.0im	-6.397825616973027e-5 + 0.0im
-12.267919312268143 + 0.0im	-6.42306026096815e-5 + 0.0im
-12.252211349000193 + 0.0im	-6.448428652039281e-5 + 0.0im
-12.236503385732243 + 0.0im	-6.473931683267978e-5 + 0.0im
-12.220795422464295 + 0.0im	-6.499570254947821e-5 + 0.0im
-12.205087459196346 + 0.0im	-6.525345274654817e-5 + 0.0im
-12.189379495928398 + 0.0im	-6.551257657314759e-5 + 0.0im
-12.173671532660448 + 0.0im	-6.577308325274673e-5 + 0.0im
-12.1579635693925 + 0.0im	-6.603498208372577e-5 + 0.0im
-12.14225560612455 + 0.0im	-6.629828244009586e-5 + 0.0im
-12.126547642856602 + 0.0im	-6.65629937722257e-5 + 0.0im
-12.110839679588652 + 0.0im	-6.68291256075629e-5 + 0.0im
-12.095131716320704 + 0.0im	-6.709668755138374e-5 + 0.0im
-12.079423753052755 + 0.0im	-6.736568928753124e-5 + 0.0im
-12.063715789784805 + 0.0im	-6.763614057918234e-5 + 0.0im
-12.048007826516857 + 0.0im	-6.790805126960071e-5 + 0.0im
-12.032299863248907 + 0.0im	-6.818143128292001e-5 + 0.0im
-12.01659189998096 + 0.0im	-6.84562906249175e-5 + 0.0im
-12.00088393671301 + 0.0im	-6.873263938380674e-5 + 0.0im
-11.985175973445061 + 0.0im	-6.901048773104037e-5 + 0.0im
-11.969468010177112 + 0.0im	-6.928984592210842e-5 + 0.0im
-11.953760046909164 + 0.0im	-6.957072429736545e-5 + 0.0im
-11.938052083641214 + 0.0im	-6.985313328285087e-5 + 0.0im
-11.922344120373264 + 0.0im	-7.013708339112624e-5 + 0.0im
-11.906636157105316 + 0.0im	-7.04225852221208e-5 + 0.0im
-11.890928193837366 + 0.0im	-7.070964946397944e-5 + 0.0im
-11.875220230569418 + 0.0im	-7.099828689393323e-5 + 0.0im
-11.859512267301469 + 0.0im	-7.128850837917572e-5 + 0.0im
-11.84380430403352 + 0.0im	-7.158032487773772e-5 + 0.0im
-11.82809634076557 + 0.0im	-7.187374743938219e-5 + 0.0im
-11.812388377497623 + 0.0im	-7.216878720651321e-5 + 0.0im
-11.796680414229673 + 0.0im	-7.246545541509316e-5 + 0.0im
-11.780972450961723 + 0.0im	-7.276376339554424e-5 + 0.0im
-11.765264487693775 + 0.0im	-7.30637225737123e-5 + 0.0im
-11.749556524425826 + 0.0im	-7.336534447180386e-5 + 0.0im
-11.733848561157878 + 0.0im	-7.36686407093231e-5 + 0.0im
-11.718140597889928 + 0.0im	-7.397362300406069e-5 + 0.0im
-11.70243263462198 + 0.0im	-7.42803031730765e-5 + 0.0im
-11.68672467135403 + 0.0im	-7.458869313365091e-5 + 0.0im
-11.671016708086082 + 0.0im	-7.489880490434246e-5 + 0.0im
-11.655308744818132 + 0.0im	-7.52106506059482e-5 + 0.0im
-11.639600781550184 + 0.0im	-7.552424246255821e-5 + 0.0im
-11.623892818282235 + 0.0im	-7.583959280258734e-5 + 0.0im
-11.608184855014285 + 0.0im	-7.615671405980519e-5 + 0.0im
-11.592476891746337 + 0.0im	-7.647561877441836e-5 + 0.0im
-11.576768928478387 + 0.0im	-7.679631959414053e-5 + 0.0im
-11.561060965210439 + 0.0im	-7.711882927525344e-5 + 0.0im
-11.54535300194249 + 0.0im	-7.744316068372682e-5 + 0.0im
-11.529645038674541 + 0.0im	-7.77693267963284e-5 + 0.0im
-11.513937075406592 + 0.0im	-7.809734070173917e-5 + 0.0im
-11.498229112138644 + 0.0im	-7.84272156016854e-5 + 0.0im
-11.482521148870694 + 0.0im	-7.875896481209895e-5 + 0.0im
-11.466813185602746 + 0.0im	-7.909260176427676e-5 + 0.0im
-11.451105222334796 + 0.0im	-7.942814000604922e-5 + 0.0im
-11.435397259066846 + 0.0im	-7.976559320298403e-5 + 0.0im
-11.419689295798898 + 0.0im	-8.010497513958234e-5 + 0.0im
-11.403981332530948 + 0.0im	-8.044629972049457e-5 + 0.0im
-11.388273369263 + 0.0im	-8.078958097176168e-5 + 0.0im
-11.37256540599505 + 0.0im	-8.113483304206061e-5 + 0.0im
-11.356857442727103 + 0.0im	-8.148207020396116e-5 + 0.0im
-11.341149479459153 + 0.0im	-8.183130685520879e-5 + 0.0im
-11.325441516191205 + 0.0im	-8.218255752001603e-5 + 0.0im
-11.309733552923255 + 0.0im	-8.25358368503693e-5 + 0.0im
