-12.566370614359172 + 0.0im	-2.8509752120806917e-5 + 0.0im
-12.550662651091223 + 0.0im	-2.8619564155014552e-5 + 0.0im
-12.534954687823275 + 0.0im	-2.8729944374884698e-5 + 0.0im
-12.519246724555325 + 0.0im	-2.884089648294007e-5 + 0.0im
-12.503538761287377 + 0.0im	-2.8952424210874758e-5 + 0.0im
-12.487830798019427 + 0.0im	-2.9064531319823457e-5 + 0.0im
-12.47212283475148 + 0.0im	-2.9177221600635013e-5 + 0.0im
-12.45641487148353 + 0.0im	-2.9290498874148174e-5 + 0.0im
-12.440706908215581 + 0.0im	-2.9404366991470228e-5 + 0.0im
-12.424998944947632 + 0.0im	-2.9518829834259733e-5 + 0.0im
-12.409290981679682 + 0.0im	-2.9633891315010292e-5 + 0.0im
-12.393583018411734 + 0.0im	-2.974955537733917e-5 + 0.0im
-12.377875055143784 + 0.0im	-2.9865825996278824e-5 + 0.0im
-12.362167091875836 + 0.0im	-2.9982707178569507e-5 + 0.0im
-12.346459128607886 + 0.0im	-3.010020296295905e-5 + 0.0im
-12.330751165339938 + 0.0im	-3.021831742050089e-5 + 0.0im
-12.315043202071989 + 0.0im	-3.0337054654859385e-5 + 0.0im
-12.29933523880404 + 0.0im	-3.045641880261701e-5 + 0.0im
-12.283627275536091 + 0.0im	-3.057641403358413e-5 + 0.0im
-12.267919312268143 + 0.0im	-3.0697044551113186e-5 + 0.0im
-12.252211349000193 + 0.0im	-3.081831459241569e-5 + 0.0im
-12.236503385732243 + 0.0im	-3.094022842888359e-5 + 0.0im
-12.220795422464295 + 0.0im	-3.106279036641263e-5 + 0.0im
-12.205087459196346 + 0.0im	-3.11860047457305e-5 + 0.0im
-12.189379495928398 + 0.0im	-3.130987594272811e-5 + 0.0im
-12.173671532660448 + 0.0im	-3.143440836879483e-5 + 0.0im
-12.1579635693925 + 0.0im	-3.1559606471156187e-5 + 0.0im
-12.14225560612455 + 0.0im	-3.168547473321742e-5 + 0.0im
-12.126547642856602 + 0.0im	-3.1812017674908805e-5 + 0.0im
-12.110839679588652 + 0.0im	-3.193923985303578e-5 + 0.0im
-12.095131716320704 + 0.0im	-3.206714586163314e-5 + 0.0im
-12.079423753052755 + 0.0im	-3.219574033232188e-5 + 0.0im
-12.063715789784805 + 0.0im	-3.232502793467164e-5 + 0.0im
-12.048007826516857 + 0.0im	-3.245501337656565e-5 + 0.0im
-12.032299863248907 + 0.0im	-3.258570140457143e-5 + 0.0im
-12.01659189998096 + 0.0im	-3.271709680431389e-5 + 0.0im
-12.00088393671301 + 0.0im	-3.284920440085363e-5 + 0.0im
-11.985175973445061 + 0.0im	-3.2982029059068564e-5 + 0.0im
-11.969468010177112 + 0.0im	-3.311557568404171e-5 + 0.0im
-11.953760046909164 + 0.0im	-3.324984922145071e-5 + 0.0im
-11.938052083641214 + 0.0im	-3.338485465796333e-5 + 0.0im
-11.922344120373264 + 0.0im	-3.352059702163785e-5 + 0.0im
-11.906636157105316 + 0.0im	-3.365708138232562e-5 + 0.0im
-11.890928193837366 + 0.0im	-3.3794312852082025e-5 + 0.0im
-11.875220230569418 + 0.0im	-3.393229658557681e-5 + 0.0im
-11.859512267301469 + 0.0im	-3.407103778051496e-5 + 0.0im
-11.84380430403352 + 0.0im	-3.421054167805693e-5 + 0.0im
-11.82809634076557 + 0.0im	-3.435081356324781e-5 + 0.0im
-11.812388377497623 + 0.0im	-3.44918587654484e-5 + 0.0im
-11.796680414229673 + 0.0im	-3.46336826587732e-5 + 0.0im
-11.780972450961723 + 0.0im	-3.477629066253177e-5 + 0.0im
-11.765264487693775 + 0.0im	-3.491968824167706e-5 + 0.0im
-11.749556524425826 + 0.0im	-3.506388090725641e-5 + 0.0im
-11.733848561157878 + 0.0im	-3.520887421686974e-5 + 0.0im
-11.718140597889928 + 0.0im	-3.535467377513221e-5 + 0.0im
-11.70243263462198 + 0.0im	-3.550128523414198e-5 + 0.0im
-11.68672467135403 + 0.0im	-3.564871429395378e-5 + 0.0im
-11.671016708086082 + 0.0im	-3.579696670305716e-5 + 0.0im
