-12.566370614359172 + 0.0im	0.0001395198521134587 + 0.0im
-12.550662651091223 + 0.0im	0.00013985023592825153 + 0.0im
-12.534954687823275 + 0.0im	0.00014018180064782646 + 0.0im
-12.519246724555325 + 0.0im	0.00014051455193683746 + 0.0im
-12.503538761287377 + 0.0im	0.0001408484954941329 + 0.0im
-12.487830798019427 + 0.0im	0.00014118363705299677 + 0.0im
-12.47212283475148 + 0.0im	0.0001415199823814249 + 0.0im
-12.45641487148353 + 0.0im	0.00014185753728234192 + 0.0im
-12.440706908215581 + 0.0im	0.00014219630759389093 + 0.0im
-12.424998944947632 + 0.0im	0.00014253629918968666 + 0.0im
-12.409290981679682 + 0.0im	0.00014287751797905623 + 0.0im
-12.393583018411734 + 0.0im	0.00014321996990731542 + 0.0im
-12.377875055143784 + 0.0im	0.00014356366095603497 + 0.0im
-12.362167091875836 + 0.0im	0.00014390859714330902 + 0.0im
-12.346459128607886 + 0.0im	0.00014425478452400781 + 0.0im
-12.330751165339938 + 0.0im	0.00014460222919007428 + 0.0im
-12.315043202071989 + 0.0im	0.00014495093727078087 + 0.0im
-12.29933523880404 + 0.0im	0.00014530091493299802 + 0.0im
-12.283627275536091 + 0.0im	0.00014565216838152096 + 0.0im
-12.267919312268143 + 0.0im	0.0001460047038592801 + 0.0im
-12.252211349000193 + 0.0im	0.00014635852764767387 + 0.0im
-12.236503385732243 + 0.0im	0.00014671364606685025 + 0.0im
-12.220795422464295 + 0.0im	0.00014707006547597852 + 0.0im
-12.205087459196346 + 0.0im	0.0001474277922735507 + 0.0im
-12.189379495928398 + 0.0im	0.00014778683289766613 + 0.0im
-12.173671532660448 + 0.0im	0.00014814719382636888 + 0.0im
-12.1579635693925 + 0.0im	0.0001485088815778732 + 0.0im
-12.14225560612455 + 0.0im	0.00014887190271092857 + 0.0im
-12.126547642856602 + 0.0im	0.00014923626382509317 + 0.0im
-12.110839679588652 + 0.0im	0.00014960197156105962 + 0.0im
-12.095131716320704 + 0.0im	0.00014996903260095255 + 0.0im
-12.079423753052755 + 0.0im	0.00015033745366863657 + 0.0im
-12.063715789784805 + 0.0im	0.000150707241530035 + 0.0im
-12.048007826516857 + 0.0im	0.00015107840299346406 + 0.0im
-12.032299863248907 + 0.0im	0.0001514509449099404 + 0.0im
-12.01659189998096 + 0.0im	0.00015182487417349146 + 0.0im
-12.00088393671301 + 0.0im	0.00015220019772150438 + 0.0im
-11.985175973445061 + 0.0im	0.00015257692253506364 + 0.0im
-11.969468010177112 + 0.0im	0.00015295505563924007 + 0.0im
-11.953760046909164 + 0.0im	0.0001533346041034663 + 0.0im
-11.938052083641214 + 0.0im	0.00015371557504187066 + 0.0im
-11.922344120373264 + 0.0im	0.0001540979756135973 + 0.0im
-11.906636157105316 + 0.0im	0.00015448181302316714 + 0.0im
-11.890928193837366 + 0.0im	0.00015486709452084029 + 0.0im
-11.875220230569418 + 0.0im	0.0001552538274029256 + 0.0im
-11.859512267301469 + 0.0im	0.0001556420190121738 + 0.0im
-11.84380430403352 + 0.0im	0.00015603167673811287 + 0.0im
-11.82809634076557 + 0.0im	0.00015642280801742516 + 0.0im
-11.812388377497623 + 0.0im	0.0001568154203342786 + 0.0im
-11.796680414229673 + 0.0im	0.00015720952122075374 + 0.0im
-11.780972450961723 + 0.0im	0.00015760511825713876 + 0.0im
-11.765264487693775 + 0.0im	0.00015800221907236845 + 0.0im
-11.749556524425826 + 0.0im	0.000158400831344358 + 0.0im
-11.733848561157878 + 0.0im	0.00015880096280041054 + 0.0im
-11.718140597889928 + 0.0im	0.00015920262121758461 + 0.0im
-11.70243263462198 + 0.0im	0.0001596058144230892 + 0.0im
-11.68672467135403 + 0.0im	0.00016001055029467737 + 0.0im
-11.671016708086082 + 0.0im	0.00016041683676103208 + 0.0im
-11.655308744818132 + 0.0im	0.00016082468180217315 + 0.0im
-11.639600781550184 + 0.0im	0.00016123409344985347 + 0.0im
-11.623892818282235 + 0.0im	0.0001616450797879751 + 0.0im
-11.608184855014285 + 0.0im	0.0001620576489529726 + 0.0im
-11.592476891746337 + 0.0im	0.00016247180913425344 + 0.0im
-11.576768928478387 + 0.0im	0.0001628875685746302 + 0.0im
-11.561060965210439 + 0.0im	0.00016330493557066922 + 0.0im
-11.54535300194249 + 0.0im	0.00016372391847320356 + 0.0im
-11.529645038674541 + 0.0im	0.00016414452568771316 + 0.0im
-11.513937075406592 + 0.0im	0.00016456676567475442 + 0.0im
-11.498229112138644 + 0.0im	0.0001649906469504195 + 0.0im
-11.482521148870694 + 0.0im	0.00016541617808675833 + 0.0im
-11.466813185602746 + 0.0im	0.00016584336771224666 + 0.0im
-11.451105222334796 + 0.0im	0.00016627222451220066 + 0.0im
-11.435397259066846 + 0.0im	0.0001667027572292699 + 0.0im
-11.419689295798898 + 0.0im	0.00016713497466386756 + 0.0im
-11.403981332530948 + 0.0im	0.0001675688856746304 + 0.0im
-11.388273369263 + 0.0im	0.00016800449917891915 + 0.0im
-11.37256540599505 + 0.0im	0.00016844182415322887 + 0.0im
-11.356857442727103 + 0.0im	0.0001688808696337396 + 0.0im
-11.341149479459153 + 0.0im	0.00016932164471672678 + 0.0im
-11.325441516191205 + 0.0im	0.00016976415855909566 + 0.0im
-11.309733552923255 + 0.0im	0.0001702084203788278 + 0.0im
-11.294025589655305 + 0.0im	0.000170654439455528 + 0.0im
-11.278317626387357 + 0.0im	0.00017110222513084752 + 0.0im
-11.262609663119408 + 0.0im	0.00017155178680908206 + 0.0im
-11.24690169985146 + 0.0im	0.00017200313395757732 + 0.0im
-11.23119373658351 + 0.0im	0.00017245627610732367 + 0.0im
-11.215485773315562 + 0.0im	0.00017291122285342718 + 0.0im
