-12.566370614359172 + 0.0im	2.6818519085430838e-6 + 0.0im
-12.550662651091223 + 0.0im	2.6880581255898362e-6 + 0.0im
-12.534954687823275 + 0.0im	2.6942859700437237e-6 + 0.0im
-12.519246724555325 + 0.0im	2.7005355427903637e-6 + 0.0im
-12.503538761287377 + 0.0im	2.706806945305741e-6 + 0.0im
-12.487830798019427 + 0.0im	2.713100279661062e-6 + 0.0im
-12.47212283475148 + 0.0im	2.7194156485259945e-6 + 0.0im
-12.45641487148353 + 0.0im	2.725753155173732e-6 + 0.0im
-12.440706908215581 + 0.0im	2.732112903484824e-6 + 0.0im
-12.424998944947632 + 0.0im	2.7384949979513638e-6 + 0.0im
-12.409290981679682 + 0.0im	2.744899543682002e-6 + 0.0im
-12.393583018411734 + 0.0im	2.7513266464054744e-6 + 0.0im
-12.377875055143784 + 0.0im	2.757776412475635e-6 + 0.0im
-12.362167091875836 + 0.0im	2.7642489488756515e-6 + 0.0im
-12.346459128607886 + 0.0im	2.7707443632224e-6 + 0.0im
-12.330751165339938 + 0.0im	2.777262763771012e-6 + 0.0im
-12.315043202071989 + 0.0im	2.7838042594200955e-6 + 0.0im
-12.29933523880404 + 0.0im	2.7903689597150103e-6 + 0.0im
-12.283627275536091 + 0.0im	2.7969569748540295e-6 + 0.0im
-12.267919312268143 + 0.0im	2.8035684156915855e-6 + 0.0im
-12.252211349000193 + 0.0im	2.8102033937441923e-6 + 0.0im
-12.236503385732243 + 0.0im	2.8168620211943367e-6 + 0.0im
-12.220795422464295 + 0.0im	2.8235444108957074e-6 + 0.0im
-12.205087459196346 + 0.0im	2.8302506763780685e-6 + 0.0im
-12.189379495928398 + 0.0im	2.83698093185199e-6 + 0.0im
-12.173671532660448 + 0.0im	2.8437352922135197e-6 + 0.0im
-12.1579635693925 + 0.0im	2.8505138730497334e-6 + 0.0im
-12.14225560612455 + 0.0im	2.8573167906430037e-6 + 0.0im
-12.126547642856602 + 0.0im	2.8641441619771506e-6 + 0.0im
-12.110839679588652 + 0.0im	2.8709961047412385e-6 + 0.0im
-12.095131716320704 + 0.0im	2.8778727373354108e-6 + 0.0im
-12.079423753052755 + 0.0im	2.8847741788762044e-6 + 0.0im
-12.063715789784805 + 0.0im	2.8917005492012834e-6 + 0.0im
-12.048007826516857 + 0.0im	2.898651968875035e-6 + 0.0im
-12.032299863248907 + 0.0im	2.9056285591938525e-6 + 0.0im
-12.01659189998096 + 0.0im	2.9126304421912668e-6 + 0.0im
-12.00088393671301 + 0.0im	2.9196577406437643e-6 + 0.0im
-11.985175973445061 + 0.0im	2.926710578075869e-6 + 0.0im
