-12.566370614359172 + 0.0im	0.00013319971497256723 + 0.0im
-12.550662651091223 + 0.0im	0.00013350668485644665 + 0.0im
-12.534954687823275 + 0.0im	0.00013381471946552267 + 0.0im
-12.519246724555325 + 0.0im	0.0001341238237404731 + 0.0im
-12.503538761287377 + 0.0im	0.00013443400265073055 + 0.0im
-12.487830798019427 + 0.0im	0.0001347452611946852 + 0.0im
-12.47212283475148 + 0.0im	0.00013505760439988773 + 0.0im
-12.45641487148353 + 0.0im	0.00013537103732325385 + 0.0im
-12.440706908215581 + 0.0im	0.000135685565051271 + 0.0im
-12.424998944947632 + 0.0im	0.0001360011927002059 + 0.0im
-12.409290981679682 + 0.0im	0.00013631792541631585 + 0.0im
-12.393583018411734 + 0.0im	0.0001366357683760593 + 0.0im
-12.377875055143784 + 0.0im	0.00013695472678630928 + 0.0im
-12.362167091875836 + 0.0im	0.00013727480588457045 + 0.0im
-12.346459128607886 + 0.0im	0.00013759601093919202 + 0.0im
-12.330751165339938 + 0.0im	0.0001379183472495917 + 0.0im
-12.315043202071989 + 0.0im	0.0001382418201464715 + 0.0im
-12.29933523880404 + 0.0im	0.00013856643499204427 + 0.0im
-12.283627275536091 + 0.0im	0.00013889219718025487 + 0.0im
-12.267919312268143 + 0.0im	0.00013921911213700638 + 0.0im
-12.252211349000193 + 0.0im	0.00013954718532039167 + 0.0im
-12.236503385732243 + 0.0im	0.00013987642222091994 + 0.0im
-12.220795422464295 + 0.0im	0.00014020682836174913 + 0.0im
-12.205087459196346 + 0.0im	0.00014053840929892017 + 0.0im
-12.189379495928398 + 0.0im	0.00014087117062159225 + 0.0im
-12.173671532660448 + 0.0im	0.00014120511795228248 + 0.0im
-12.1579635693925 + 0.0im	0.00014154025694710308 + 0.0im
-12.14225560612455 + 0.0im	0.00014187659329600356 + 0.0im
-12.126547642856602 + 0.0im	0.00014221413272301792 + 0.0im
-12.110839679588652 + 0.0im	0.0001425528809865046 + 0.0im
-12.095131716320704 + 0.0im	0.00014289284387939858 + 0.0im
