-12.566370614359172 + 0.0im	2.6626314418286707e-6 + 0.0im
-12.550662651091223 + 0.0im	2.668766200658372e-6 + 0.0im
-12.534954687823275 + 0.0im	2.674922232149194e-6 + 0.0im
-12.519246724555325 + 0.0im	2.6810996349817e-6 + 0.0im
-12.503538761287377 + 0.0im	2.6872985084105634e-6 + 0.0im
-12.487830798019427 + 0.0im	2.6935189522685957e-6 + 0.0im
-12.47212283475148 + 0.0im	2.6997610669708014e-6 + 0.0im
-12.45641487148353 + 0.0im	2.7060249535184526e-6 + 0.0im
-12.440706908215581 + 0.0im	2.7123107135032215e-6 + 0.0im
-12.424998944947632 + 0.0im	2.7186184491113353e-6 + 0.0im
-12.409290981679682 + 0.0im	2.724948263127762e-6 + 0.0im
-12.393583018411734 + 0.0im	2.731300258940435e-6 + 0.0im
-12.377875055143784 + 0.0im	2.7376745405445025e-6 + 0.0im
-12.362167091875836 + 0.0im	2.74407121254666e-6 + 0.0im
-12.346459128607886 + 0.0im	2.7504903801694168e-6 + 0.0im
-12.330751165339938 + 0.0im	2.756932149255522e-6 + 0.0im
-12.315043202071989 + 0.0im	2.763396626272329e-6 + 0.0im
-12.29933523880404 + 0.0im	2.7698839183162417e-6 + 0.0im
-12.283627275536091 + 0.0im	2.776394133117211e-6 + 0.0im
-12.267919312268143 + 0.0im	2.782927379043208e-6 + 0.0im
-12.252211349000193 + 0.0im	2.789483765104818e-6 + 0.0im
-12.236503385732243 + 0.0im	2.7960634009597828e-6 + 0.0im
-12.220795422464295 + 0.0im	2.802666396917672e-6 + 0.0im
-12.205087459196346 + 0.0im	2.809292863944523e-6 + 0.0im
-12.189379495928398 + 0.0im	2.815942913667541e-6 + 0.0im
-12.173671532660448 + 0.0im	2.82261665837986e-6 + 0.0im
-12.1579635693925 + 0.0im	2.8293142110453105e-6 + 0.0im
-12.14225560612455 + 0.0im	2.8360356853032604e-6 + 0.0im
-12.126547642856602 + 0.0im	2.842781195473459e-6 + 0.0im
-12.110839679588652 + 0.0im	2.8495508565609677e-6 + 0.0im
-12.095131716320704 + 0.0im	2.856344784261079e-6 + 0.0im
-12.079423753052755 + 0.0im	2.863163094964325e-6 + 0.0im
-12.063715789784805 + 0.0im	2.8700059057614985e-6 + 0.0im
-12.048007826516857 + 0.0im	2.8768733344487364e-6 + 0.0im
-12.032299863248907 + 0.0im	2.883765499532626e-6 + 0.0im
-12.01659189998096 + 0.0im	2.8906825202353666e-6 + 0.0im
-12.00088393671301 + 0.0im	2.8976245164999786e-6 + 0.0im
-11.985175973445061 + 0.0im	2.9045916089955455e-6 + 0.0im
-11.969468010177112 + 0.0im	2.9115839191225216e-6 + 0.0im
-11.953760046909164 + 0.0im	2.918601569018049e-6 + 0.0im
-11.938052083641214 + 0.0im	2.9256446815613433e-6 + 0.0im
-11.922344120373264 + 0.0im	2.932713380379151e-6 + 0.0im
-11.906636157105316 + 0.0im	2.9398077898511847e-6 + 0.0im
-11.890928193837366 + 0.0im	2.946928035115692e-6 + 0.0im
-11.875220230569418 + 0.0im	2.9540742420749694e-6 + 0.0im
-11.859512267301469 + 0.0im	2.9612465374010484e-6 + 0.0im
-11.84380430403352 + 0.0im	2.968445048541302e-6 + 0.0im
-11.82809634076557 + 0.0im	2.9756699037241983e-6 + 0.0im
-11.812388377497623 + 0.0im	2.982921231965049e-6 + 0.0im
-11.796680414229673 + 0.0im	2.990199163071832e-6 + 0.0im
-11.780972450961723 + 0.0im	2.9975038276510377e-6 + 0.0im
-11.765264487693775 + 0.0im	3.004835357113643e-6 + 0.0im
-11.749556524425826 + 0.0im	3.012193883680978e-6 + 0.0im
-11.733848561157878 + 0.0im	3.0195795403908373e-6 + 0.0im
-11.718140597889928 + 0.0im	3.0269924611035367e-6 + 0.0im
-11.70243263462198 + 0.0im	3.034432780507979e-6 + 0.0im
-11.68672467135403 + 0.0im	3.04190063412789e-6 + 0.0im
-11.671016708086082 + 0.0im	3.049396158328046e-6 + 0.0im
-11.655308744818132 + 0.0im	3.056919490320522e-6 + 0.0im
-11.639600781550184 + 0.0im	3.064470768171078e-6 + 0.0im
-11.623892818282235 + 0.0im	3.07205013080552e-6 + 0.0im
-11.608184855014285 + 0.0im	3.0796577180161818e-6 + 0.0im
-11.592476891746337 + 0.0im	3.0872936704684103e-6 + 0.0im
-11.576768928478387 + 0.0im	3.0949581297071553e-6 + 0.0im
-11.561060965210439 + 0.0im	3.1026512381635615e-6 + 0.0im
-11.54535300194249 + 0.0im	3.110373139161712e-6 + 0.0im
-11.529645038674541 + 0.0im	3.118123976925286e-6 + 0.0im
-11.513937075406592 + 0.0im	3.125903896584445e-6 + 0.0im
-11.498229112138644 + 0.0im	3.133713044182632e-6 + 0.0im
-11.482521148870694 + 0.0im	3.1415515666835263e-6 + 0.0im
-11.466813185602746 + 0.0im	3.1494196119780244e-6 + 0.0im
-11.451105222334796 + 0.0im	3.1573173288912743e-6 + 0.0im
-11.435397259066846 + 0.0im	3.1652448671898065e-6 + 0.0im
-11.419689295798898 + 0.0im	3.1732023775886633e-6 + 0.0im
-11.403981332530948 + 0.0im	3.181190011758712e-6 + 0.0im
-11.388273369263 + 0.0im	3.1892079223338657e-6 + 0.0im
-11.37256540599505 + 0.0im	3.1972562629184893e-6 + 0.0im
-11.356857442727103 + 0.0im	3.2053351880948264e-6 + 0.0im
-11.341149479459153 + 0.0im	3.213444853430496e-6 + 0.0im
-11.325441516191205 + 0.0im	3.2215854154860694e-6 + 0.0im
-11.309733552923255 + 0.0im	3.229757031822707e-6 + 0.0im
-11.294025589655305 + 0.0im	3.237959861009808e-6 + 0.0im
-11.278317626387357 + 0.0im	3.2461940626328816e-6 + 0.0im
-11.262609663119408 + 0.0im	3.254459797301292e-6 + 0.0im
-11.24690169985146 + 0.0im	3.262757226656236e-6 + 0.0im
-11.23119373658351 + 0.0im	3.271086513378713e-6 + 0.0im
-11.215485773315562 + 0.0im	3.279447821197568e-6 + 0.0im
-11.199777810047612 + 0.0im	3.2878413148976193e-6 + 0.0im
-11.184069846779664 + 0.0im	3.2962671603278966e-6 + 0.0im
-11.168361883511714 + 0.0im	3.3047255244099035e-6 + 0.0im
-11.152653920243765 + 0.0im	3.3132165751459412e-6 + 0.0im
-11.136945956975817 + 0.0im	3.3217404816276037e-6 + 0.0im
-11.121237993707867 + 0.0im	3.3302974140442294e-6 + 0.0im
-11.105530030439919 + 0.0im	3.3388875436915047e-6 + 0.0im
-11.08982206717197 + 0.0im	3.3475110429801443e-6 + 0.0im
